G,C,B,A,Ia,Ib,Ic,Va,Vb,Vc
0,0,0,0,62.12300583,-19.9693068,-42.15369903,0.00712248,0.521141745,-0.528264224
0,0,0,0,61.91415892,-19.02120133,-42.89295759,-0.002395066,0.52593267,-0.523537604
0,0,0,0,61.6900357,-18.06840274,-43.62163297,-0.011912021,0.530593829,-0.518681808
0,0,0,0,61.45069147,-17.11114613,-44.33954534,-0.021426036,0.535124072,-0.513698036
0,0,0,0,61.19618529,-16.14966768,-45.04651761,-0.030934765,0.539522281,-0.508587516
0,0,0,0,60.92657994,-15.18420463,-45.74237531,-0.040435861,0.543787371,-0.50335151
0,0,0,0,60.64194194,-14.21499516,-46.42694678,-0.04992698,0.54791829,-0.49799131
0,0,0,0,60.34234152,-13.24227843,-47.10006309,-0.05940578,0.551914018,-0.492508237
0,0,0,0,60.0278526,-12.26629442,-47.76155818,-0.068869923,0.555773569,-0.486903646
0,0,0,0,59.69855277,-11.28728397,-48.41126881,-0.078317073,0.559495992,-0.481178918
0,0,0,0,59.3545233,-10.30548862,-49.04903468,-0.0877449,0.563080367,-0.475335467
0,0,0,0,58.99584907,-9.321150659,-49.67469842,-0.097151076,0.566525811,-0.469374734
0,0,0,0,58.62261859,-8.334512929,-50.28810566,-0.106533282,0.569831472,-0.46329819
0,0,0,0,58.23492392,-7.345818882,-50.88910504,-0.115889203,0.572996537,-0.457107334
0,0,0,0,57.83286074,-6.355312445,-51.4775483,-0.125216529,0.576020223,-0.450803693
0,0,0,0,57.41652824,-5.363238016,-52.05329022,-0.134512961,0.578901784,-0.444388824
0,0,0,0,56.98602914,-4.369840361,-52.61618878,-0.143776202,0.58164051,-0.437864308
0,0,0,0,56.54146967,-3.375364602,-53.16610506,-0.15300397,0.584235725,-0.431231756
0,0,0,0,56.08295951,-2.380056104,-53.70290341,-0.162193986,0.586686789,-0.424492803
0,0,0,0,55.61061181,-1.384160465,-54.22645135,-0.171343982,0.588993096,-0.417649114
0,0,0,0,55.12454311,-0.387923398,-54.73661971,-0.180451703,0.591154079,-0.410702376
0,0,0,0,54.62487333,0.608409278,-55.23328261,-0.189514899,0.593169202,-0.403654303
0,0,0,0,54.11172577,1.604591748,-55.71631752,-0.198531335,0.59503797,-0.396506635
0,0,0,0,53.58522704,2.600378214,-56.18560525,-0.207498787,0.596759921,-0.389261135
0,0,0,0,53.04550703,3.595522994,-56.64103002,-0.216415041,0.598334631,-0.38191959
0,0,0,0,52.49269892,4.589780541,-57.08247946,-0.225277898,0.59976171,-0.374483812
0,0,0,0,51.9269391,5.582905544,-57.50984464,-0.234085171,0.601040808,-0.366955636
0,0,0,0,51.34836718,6.574652951,-57.92302013,-0.242834687,0.602171607,-0.35933692
0,0,0,0,50.7571259,7.564778067,-58.32190397,-0.251524287,0.603153829,-0.351629542
0,0,0,0,50.15336116,8.553036585,-58.70639774,-0.260151828,0.603987233,-0.343835405
0,0,0,0,49.53722191,9.539184676,-59.07640659,-0.268715179,0.604671611,-0.335956432
0,0,0,0,48.90886019,10.52297902,-59.43183921,-0.277212229,0.605206796,-0.327994567
0,0,0,0,48.26843103,11.50417689,-59.77260792,-0.285640881,0.605592655,-0.319951774
0,0,0,0,47.61609244,12.48253618,-60.09862862,-0.293999055,0.605829093,-0.311830037
